
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
10699;5,29;5,55;ZS-26/02/4547;4485;5201704002764;Roślinna alternatywa sera cheddar- plastry 140 g;3.000000;szt.;5,00;15,87;16,66
10776;4,99;6,14;ZS-26/02/4547;4579;5000204246438;Płyn do mycia naczyń POMEGRANATE & FIG 450ml;1.000000;szt.;23,00;4,99;6,14
10780;6,38;7,85;ZS-26/02/4547;4583;5000204247039;Płyn do zmiękczania tkanin Apple Blossom & Almond 750ml;1.000000;szt.;23,00;6,38;7,85
10802;3,28;3,44;ZS-26/02/4547;4605;8008698015988;Muffin choco- babeczka czekoladowa BEZGL. 65 g;2.000000;szt.;5,00;6,56;6,89
10805;5,39;5,66;ZS-26/02/4547;4612;5907713371142;Ciastka z kakao BIO B/C 130 g;3.000000;szt.;5,00;16,17;16,98
10806;5,59;5,87;ZS-26/02/4547;4613;5907713371128;Ciastka z bananem  BIO B/C 130 g;3.000000;szt.;5,00;16,77;17,61
10810;7,24;7,82;ZS-26/02/4547;4619;5908249979130;Ketchup bez dodatku cukru BIO 470 g;1.000000;szt.;8,00;7,24;7,82
10866;6,79;7,13;ZS-26/02/4547;4687;5902693122012;Zakwas z Buraków 100% ekologiczny kiszony 0,5 l;1.000000;szt.;5,00;6,79;7,13
10901;5,81;6,10;ZS-26/02/4547;4725;8588007731865;Chipsy warzywne BEZGL. BIO 85 g;2.000000;szt.;5,00;11,62;12,20
10988;4,58;4,81;ZS-26/02/4547;4833;5901902002022;Makaron Eko Farma zwierzątka pięciosmakowe BIO 250g;2.000000;szt.;5,00;9,16;9,62
11137;5,81;6,10;ZS-26/02/4547;4999;8588007731919;Chipsy z ciecierzycy o smaku hummusu BEZGL. BIO 85 g;1.000000;szt.;5,00;5,81;6,10
11172;7,49;7,86;ZS-26/02/4547;5037;5908228980935;Probiotyczny sok bez soli z kiszonego buraka BIO 300 ml;4.000000;szt.;5,00;29,96;31,46
11268;2,99;3,14;ZS-26/02/4547;5149;5908249979338;Paluszki orkiszowe pełnoziarniste BIO 50 g;1.000000;szt.;5,00;2,99;3,14
11314;3,80;4,10;ZS-26/02/4547;5199;8004203124848;Cukierki o smaku zielonego jabłka ze stewią bez cukru 60 g;1.000000;szt.;8,00;3,80;4,10
11316;2,61;2,74;ZS-26/02/4547;5201;5203225004296;Wegański baton z masłem orzechowym w ciemnej czekoladzie 35 g;3.000000;szt.;5,00;7,83;8,22
11332;4,85;5,09;ZS-26/02/4547;5217;8007945200054;Grissini z mąki półpełnoziarnistej BIO 120 g;1.000000;szt.;5,00;4,85;5,09
11341;14,21;14,92;ZS-26/02/4547;5226;5905563491010;Kimchi classic JONGGA 520g ( DOYPACK);41.000000;szt.;5,00;582,61;611,74
11371;11,17;11,73;ZS-26/02/4547;5256;8008698010778;Sauerteigbrot- chleb na zakwasie BEZGL. 240 g;6.000000;szt.;5,00;67,02;70,37
11379;12,32;12,94;ZS-26/02/4547;5264;5904722221567;Kimchi Spicy rzodkiew 300 g;1.000000;szt.;5,00;12,32;12,94
